step,loss,sparsity,drift,time_sec
0,10.827224731445312,16.952106678460996,1.0,12.810200929641724
5,0.11110133677721024,94.71803688032631,-0.02964138612151146,151.62484622001648
10,0.42252692580223083,82.37840435594158,-0.03349985554814339,310.1319408416748
15,2.2491722106933594,87.62413751995399,0.03509893640875816,450.5922317504883
20,3.2061731815338135,96.45934019834586,-0.0122224697843194,595.8232870101929
25,0.14077749848365784,87.76161780163528,-0.035542938858270645,730.7630310058594
30,0.9526071548461914,96.68570070341764,-0.03048258274793625,877.9680058956146
35,0.7428317070007324,89.47567046211569,0.03550565242767334,1019.0012154579163
40,2.2123680114746094,96.97402759621912,-0.03358137980103493,1157.5857965946198
45,0.2041158229112625,95.31616821611277,0.0370776392519474,1294.9931411743164
