step,loss,sparsity,drift,time_sec
0,10.827224731445312,16.952116498340832,1.0,10.725775718688965
5,0.11192667484283447,95.04522251062119,-0.03011721931397915,139.3155267238617
10,0.4299827516078949,82.0912637046243,-0.03392798453569412,280.33543634414673
15,2.306624412536621,87.93645634317102,0.03521646559238434,415.8767948150635
20,3.3274550437927246,96.88530989183991,0.0035541134420782328,542.3873913288116
25,0.14853599667549133,87.2270058675746,-0.03451221436262131,661.0079910755157
30,0.9891822934150696,95.29535252583021,-0.030052347108721733,788.9771819114685
35,0.7561429142951965,88.54836300639157,0.03429339826107025,920.2648248672485
40,2.2509846687316895,98.16109640529551,-0.02055204100906849,1051.9754412174225
45,0.20292986929416656,92.7740669542975,0.03540718927979469,1184.69309258461
