step,loss,sparsity,drift,time_sec
0,10.827224731445312,16.95213221014857,1.0,12.270830154418945
5,0.11109957098960876,94.71745898039795,-0.029640162363648415,155.57699632644653
10,0.4225284159183502,82.37727948870635,-0.033497948199510574,324.4538354873657
15,2.2491390705108643,87.6200396840984,0.03509601950645447,472.3608319759369
20,3.2062301635742188,96.4589002677292,-0.012279679998755455,628.2958424091339
25,0.1403428614139557,87.71488204753136,-0.03555205836892128,772.0926406383514
30,0.9525051712989807,96.5594867698723,-0.03075348772108555,929.4568133354187
35,0.7439276576042175,89.53715125678751,0.035474374890327454,1083.6192348003387
40,2.2125892639160156,96.81981620327308,-0.03364138677716255,1242.9782683849335
45,0.20298613607883453,95.5538913041429,0.03693491220474243,1390.015293598175
