step,loss,sparsity,drift,time_sec
0,10.827224731445312,16.95208556571935,1.0,11.014100790023804
5,0.10134799778461456,54.51751935301918,-0.04779806360602379,67.82937860488892
10,0.3539048135280609,49.39297430805198,-0.026536250486969948,132.05037689208984
15,2.0939369201660156,48.217940743702705,0.016703808680176735,194.19221138954163
20,3.1238338947296143,48.15754455475879,-0.03276805207133293,262.7287302017212
25,0.07774490118026733,56.62436867992534,-0.008255121298134327,329.3402347564697
30,0.8805341124534607,56.568716965924224,0.010465939529240131,389.33997201919556
35,0.6738870143890381,66.61761653055004,0.014740404672920704,452.1321723461151
40,2.175511121749878,60.831370175689436,-0.004786480218172073,512.4507868289948
45,0.10944859683513641,68.32725711902009,-0.012149346061050892,577.0566055774689
