step,loss,sparsity,drift,time_sec
0,10.827224731445312,16.95209636758717,1.0,10.852351903915405
5,0.6526851654052734,30.00776261501043,0.4141288101673126,136.2891743183136
10,0.3562290370464325,43.58025257516529,-0.23351749777793884,281.1702301502228
15,2.233685255050659,47.84617875087986,-0.14759226143360138,411.41322565078735
20,3.1524553298950195,44.09909672817316,0.09833558648824692,546.6108727455139
25,0.08592545241117477,48.830956071356745,0.07267969101667404,667.8451061248779
30,0.8611860871315002,50.650517448748076,-0.11412302404642105,805.0279054641724
35,0.6478132605552673,66.87070822151765,0.08027336001396179,936.9612143039703
40,2.0890913009643555,59.506788679328295,0.0667363703250885,1070.6889481544495
45,0.1012096181511879,69.25104071086503,-0.02376045286655426,1203.525072336197
