step,loss,sparsity,drift,time_sec
0,10.827224731445312,16.952083601743382,1.0,12.458864688873291
5,3.51495361328125,17.35117382915609,0.7435601949691772,167.2839105129242
10,0.8763669729232788,27.008697663968423,0.7427161335945129,366.4859116077423
15,2.4112050533294678,35.96243758484376,0.6966548562049866,568.675529718399
20,3.388180732727051,37.85415200231278,0.6787673830986023,752.5697166919708
25,0.16694709658622742,39.31895450881747,0.6530761122703552,909.7788369655609
30,1.016322374343872,41.611790395843286,0.6379307508468628,1074.413720369339
35,0.7759387493133545,45.40966378302622,0.6025227904319763,1237.5260243415833
40,2.5210793018341064,43.69022442746173,0.47058960795402527,1395.5837445259094
45,0.15986984968185425,46.02569774174187,0.5524207353591919,1553.6241176128387
