step,loss,sparsity,drift,time_sec
0,10.827224731445312,16.952103732497044,1.0,10.983733177185059
5,0.09894157946109772,87.87866242238367,-0.08671647310256958,32.662776947021484
10,0.3573119640350342,62.22668721247392,-0.09485287219285965,53.70209860801697
15,1.5780094861984253,95.0604752389766,-0.007695797365158796,75.1229817867279
20,2.2601542472839355,94.88435913107418,-0.033138457685709,96.56208944320679
25,0.04317107051610947,94.46998426069659,-0.031478963792324066,118.00727963447571
30,0.6513507962226868,94.50697083809925,-0.017029814422130585,139.8141987323761
35,0.5011247992515564,97.87645491339651,0.004797154106199741,161.33071756362915
40,1.7086032629013062,91.28736267880038,-0.0041328174993395805,182.60386276245117
45,0.07816285640001297,97.86977297616205,0.004370542708784342,203.91461181640625
