step,loss,sparsity,drift,time_sec
0,10.827224731445312,16.95207525484552,1.0,10.747010707855225
5,0.10947931557893753,94.0708694835843,-0.029456982389092445,123.13494563102722
10,0.41171443462371826,80.80909917921517,-0.033178482204675674,265.9784915447235
15,2.1616263389587402,88.05498229279269,0.03503142669796944,395.5287277698517
20,3.052760124206543,96.03097396317781,-0.01632509008049965,534.7685770988464
25,0.13962464034557343,86.9588892694638,-0.035868220031261444,646.431282043457
30,0.9507433176040649,97.81364794395284,-0.01815342903137207,782.2241876125336
35,0.7554897665977478,90.62841142625506,0.03632444143295288,916.904176235199
40,2.289928913116455,93.51599373648784,-0.034784987568855286,1049.8907458782196
45,0.21593064069747925,93.03288412620353,0.037386175245046616,1178.3468370437622
