step,loss,sparsity,drift,time_sec
0,10.827224731445312,16.952132701142563,1.0,11.998871803283691
5,0.10948211699724197,94.06909208533398,-0.02944958768785,47.54531240463257
10,0.4127776026725769,80.57784493702708,-0.03307216987013817,81.075688123703
15,2.173107147216797,89.58225003692274,0.03495515510439873,118.20036578178406
20,3.0486412048339844,96.01054959510672,0.0009394464432261884,155.09906935691833
25,0.13986937701702118,86.92495127375625,-0.03571724519133568,191.62676429748535
30,0.9509091377258301,97.67788319527891,-0.020660873502492905,228.2357943058014
35,0.7564288377761841,90.62493764376303,0.036034420132637024,265.0743999481201
40,2.292675733566284,93.54702701173986,-0.03443886712193489,300.1617982387543
45,0.2161206156015396,93.02005592617965,0.0370224192738533,336.13651275634766
