step,loss,sparsity,drift,time_sec
0,10.827224731445312,16.95204726818799,1.0,10.666782855987549
5,0.1042887270450592,52.87094939776641,-0.12182330340147018,125.24980235099792
10,0.3649209439754486,43.06298402187712,0.06219618394970894,273.8636484146118
15,1.906988263130188,65.12084344126298,0.013605681248009205,407.05207085609436
20,2.7813756465911865,62.283656754349025,-0.05477365106344223,542.1941170692444
25,0.06083865836262703,61.16051290803565,0.042008012533187866,645.8979392051697
30,0.7712859511375427,72.09332931634782,-0.010443205013871193,778.8564262390137
35,0.58486407995224,84.62485800453757,-0.0055419509299099445,908.468754529953
40,1.8535139560699463,76.06429527043164,0.01617264561355114,1038.960634469986
45,0.07636532187461853,80.52653360991351,0.031455252319574356,1165.313393831253
