step,loss,sparsity,drift,time_sec
0,10.827224731445312,16.95206936291762,1.0,11.022040128707886
5,0.8854962587356567,61.3291010960557,0.019816642627120018,67.80187344551086
10,0.39125949144363403,96.72721670039468,-0.02768075093626976,133.6052644252777
15,2.005594253540039,99.3641917492584,0.04377591982483864,194.76154899597168
20,3.1240217685699463,93.39607630989342,-0.027592536062002182,263.16577100753784
25,0.13963580131530762,90.46788192262248,-0.02276597172021866,330.87147521972656
30,1.5842390060424805,49.617823533616985,-0.007091815583407879,393.8003749847412
35,0.7742243409156799,85.18141442406798,0.04150785133242607,458.84585523605347
40,2.120959997177124,80.13390388144498,0.04372492432594299,527.2314720153809
45,0.228532612323761,72.5188787189849,0.033078838139772415,594.3592717647552
