Optimizer,Final Loss,Avg Loss (excl. init),Min Loss,Loss Variance,Loss Stability (lower=better),Final Sparsity (%),Avg Sparsity (%),Max Sparsity (%),Sparsity at step 5,Final Drift,Avg Absolute Drift,Max Absolute Drift,Update Stability,Steps to convergence (<0.5 loss),Early convergence (at step 5)
8bit,0.2161206156015396,1.1222235303786066,0.1094821169972419,1.2079443800395713,1.0990652301112847,93.02005592617964,83.89867244062508,97.67788319527892,94.06909208533398,0.0370224192738533,0.12622901843278667,1.0,0.3072103710900577,4,0.1094821169972419
adabelief,0.0763653218746185,0.9449379497932063,0.060838658362627,0.9828154496244896,0.9913704905959677,80.52653360991351,61.476000999270966,84.62485800453757,52.87094939776641,0.0314552523195743,0.1358019886072725,1.0,0.3056192589732792,4,0.1042887270450592
adadelta,0.1598698496818542,1.6478737493356068,0.1598698496818542,1.7526835096424551,1.32388953830841,46.02569774174187,35.1184875538915,46.02569774174187,17.35117382915609,0.5524207353591919,0.677823856472969,1.0,0.14111908914540922,2,3.51495361328125
adafactor,0.0781628564000129,0.8085366735855738,0.0431710705161094,0.6818713338316483,0.8257550083600149,97.86977297616204,83.30128334045602,97.87645491339651,87.87866242238367,0.0043705427087843,0.12842128928750748,1.0,0.3080573639897935,4,0.0989415794610977
adagrad,0.1029691621661186,1.1588252459963162,0.1029691621661186,1.5369800446707278,1.2397499928093276,89.43123648784534,69.48725266668657,91.28219005709671,91.28219005709671,-0.0265163704752922,0.13650533754844216,1.0,0.3043736506405387,4,0.1319172084331512
adam-mini,0.0944369360804557,0.8194181587960985,0.054077424108982,0.7277636256702172,0.8530906315686612,96.08817427222908,78.54593199693934,97.0379844735916,68.04141612879911,0.0093145594000816,0.10972160175442695,1.0,0.31286315547328813,4,0.0908763706684112
adamem,0.2159306406974792,1.1208108324143622,0.1094793155789375,1.2065110194049453,1.0984129548603045,93.03288412620353,83.78678266759786,97.81364794395284,94.0708694835843,0.0373861752450466,0.12765092346817253,1.0,0.30660468848186967,4,0.1094793155789375
adamw,0.2159371823072433,1.1208060193392966,0.1094790622591972,1.2065037890669554,1.0984096635895715,93.03225270793008,83.78676292963938,97.8133140680384,94.07077570373188,0.0373853743076324,0.12765073962509632,1.0,0.3066047721128237,4,0.1094790622591972
adam,0.2029298692941665,1.1693071805768542,0.1119266748428344,1.3705977028407332,1.170725289229174,92.7740669542975,84.09162537079865,98.16109640529552,95.0452225106212,0.0354071892797946,0.1257632972905412,1.0,0.30733500467093083,4,0.1119266748428344
came,0.1389393806457519,1.5873472839593887,0.1136868596076965,2.994922041164904,1.7305843062864357,97.61807619912516,86.23748107709156,97.9996993152794,97.9996993152794,-0.0204068776220083,0.1197646426968276,1.0,0.3094332232238563,3,0.1136868596076965
galore,0.2041158229112625,1.1379637610581186,0.1111013367772102,1.2862317559871974,1.1341215790148769,95.31616821611276,84.4345210412529,96.97402759621912,94.71803688032632,0.0370776392519474,0.12826528409495946,1.0,0.3063799284961621,4,0.1111013367772102
lamb,0.1012096181511879,1.1311422785123189,0.0859254524111747,1.188513540076306,1.0901896807786735,69.25104071086503,47.75953981686317,69.25104071086503,30.00776261501043,-0.0237604528665542,0.22511470541357995,1.0,0.29448423219928255,3,0.6526851654052734
lion,0.082533873617649,0.9172315249840418,0.0710435733199119,0.9192761295318868,0.9587888868420862,98.23494828458485,86.2510900066618,98.80827263992936,96.74175012255208,0.0046574845910072,0.11445053113857281,1.0,0.3113133051311508,4,0.1292793303728103
rmsprop,0.228532612323761,1.2504403922292922,0.1396358013153076,1.0407663179259057,1.0201795518073795,72.5188787189849,74.56885576992572,99.3641917492584,61.3291010960557,0.0330788381397724,0.12670352505519983,1.0,0.3070642953781957,3,0.8854962587356567
sgd,0.1094485968351364,1.0655721525351207,0.0777449011802673,1.2549712360108418,1.1202549870501992,68.32725711902009,52.620739399636115,68.32725711902009,54.51751935301918,-0.0121493460610508,0.11742034666240216,1.0,0.31038178842669223,4,0.1013479977846145
spam,0.2029861360788345,1.1379275901450052,0.1110995709896087,1.2865805244514374,1.1342753300902906,95.5538913041429,84.43110382126875,96.81981620327308,94.71745898039796,0.0369349122047424,0.12828700300306078,1.0,0.30637154445551473,4,0.1110995709896087
stable-spam,0.0781513974070549,0.7921846364107397,0.0565283112227916,0.6594606314228947,0.8120718142029648,99.4927020617034,87.5553455301478,99.69262548628043,68.44097525547399,0.001582155469805,0.10381149129243564,1.0,0.31494296361545887,4,0.1162203699350357
